paperID,MA_ID,title,guidelines,guidelines_quote,guidelines_name,registration,registration_quote,effect_size_used,effect_size_eqn_quote,meta_analytic_model,meta_analytic_model_quote,sampling_variance,sampling_variance_quote,software,software_quote,software_used,raw_data_shared,processed_data_shared,metadata,code_shared
MRMA_MP_1,MA_001,Mate guarding and frequent copulation in birds A meta-analysis of their relationship to paternity and male phenotype,No,NA,NA,No,NA,correlation,"When a study did not report a correlation but included other statistics, r was calculated from the reported statistics (e.g. mean ± S.D., t, F, p, R2) using standard formulae (see Table S2 and Lipsey and Wilson 2001; Nakagawa et al. 2007; Borenstein et al. 2009; Koricheva et al. 2013)......When a study did not report a correlation but included other statistics, r was calculated from the reported statistics (e.g. mean ¬± S.D., t, F, p, R2) using standard formulae (see Table S2 and Lipsey and Wilson 2001; Nakagawa et al. 2007; Borenstein et al. 2009; Koricheva et al. 2013).",Multi-level random effect model,Separate random-effects meta-analyses were conducted for each question. [...]Multi-level (phylogenetic) random-effects meta-analyses.,Yes,"We calculated the variance in Zr as 1/(N–3), where N is the
number of breeding pairs.",Yes,All statistical analyses for the standard random-effects meta-analyses and bias detection were conducted in R,R,Yes,Yes,No,Yes
MRMA_MP_2,MA_002,Ecological and economic benefits of low-intensity urban lawn,Yes,"We filtered the resultant publications for eligibility according to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta Analyses) flow diagram outlined in Figure 1 (Moher, Liberati, Tetzlaff, & Altman, 2009).",PRISMA,No,NA,SMD,"For each variable, we used control (i.e. low management intensity) and treatment (i.e. high management intensity) statistics to calculate Hedges’ g as the measure of effect size. Hedges’ g is the calculated and bias-corrected standardized mean difference; the difference between the treatment and control effect size, divided by the pooled standard deviation (Hedges, 1981). [...] Hedges’ g calculations and all other components of the me- ta-analyses were conducted using the metafor package (Viechtbauer, 2010) in r version 3.5.0 (R Core Team, 2018)......For each variable, we used control (i.e. low management intensity) and treatment (i.e. high management intensity) statistics to calculate Hedges’ g as the measure of effect size. Hedges’ g is the calculated and bias-corrected standardized mean difference; the difference between the treatment and control effect size, divided by the pooled standard deviation (Hedges, 1981). [...] Hedges’ g calculations and all other components of the me- ta-analyses were conducted using the metafor package (Viechtbauer, 2010) in r version 3.5.0 (R Core Team, 2018).",Multi-level random effect model,"For the meta-analysis, we ran multilevel random-effect models fitted using a restricted maximum likelihood estimator (REML). Multilevel models account for non-independence of multiple vari- ables within one study, which is common in the biological literature (Nakagawa & Santos, 2012), while the REML provides a balance between unbiasedness and efficiency (Viechtbauer, 2005).",Yes,"For each variable, we used control (i.e. low management intensity) and treatment (i.e. high management intensity) statistics to calculate Hedges’ g as the measure of effect size. Hedges’ g is the calculated and bias-corrected standardized mean difference; the difference between the treatment and control effect size, divided by the pooled standard deviation (Hedges, 1981). [...] Hedges’ g calculations and all other components of the me- ta-analyses were conducted using the metafor package (Viechtbauer, 2010) in r version 3.5.0 (R Core Team, 2018).",Yes,"Otherwise, data were extracted from published figures using the Web Plot Digitizer tool (Rohatgi, 2017), which is reliable for extracting data from pub- lished sources (Drevon, Fursa, & Malcolm, 2017).[...] Hedges’ g calculations and all other components of the me- ta-analyses were conducted using the metafor package (Viechtbauer, 2010) in r version 3.5.0 (R Core Team, 2018).",R,Yes,Yes,Yes,No
MRMA_MP_3,MA_003,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,No,NA,NA,No,NA,response ratio,"We used the log response ratio (treatment/control) as an index of effect size (Koricheva, Gurevitch, & Mengersen, 2013). The treatments were water addition, nutrient addition and the combination of both water and nutrient addition. Effect size was calculated for the following response variables: richness, total above-ground biomass, graminoid above-ground biomass and forb above-ground biomass. T.....We used the log response ratio (treatment/control) as an index of
effect size (Koricheva, Gurevitch, & Mengersen, 2013). The treatments
were water addition, nutrient addition and the combination of both
water and nutrient addition. Effect size was calculated for the following
response variables: richness, total above-ground biomass, graminoid
above-ground biomass and forb above-ground biomass. The analysis
was performed using a mixed-effects model with the R package ‘Metafor’
(Viechtbauer, 2010)",Random effects model,"The analysis was performed using a mixed-effects model with the R package ‘Meta- for’ (Viechtbauer, 2010). Supporting Information Table S2 summarizes how we addressed the methodological criteria for robust results in eco- logical meta-analyses (following Koricheva & Gurevitch, 2014).",Yes,"Studies were weighted based on the inverse sampling variance. In instances where standard errors were not reported (a total of seven studies) we estimated them using the equation [equation in the paper] , where the unknown standard error (Sj) of experiment j is estimated based on the standard errors (Si) and sample sizes (ni) of K studies for which these data were available and the sample size of the target experiment (nj) (Koricheva et al., 2013; Ma, Liu, Hunter, & Zhang, 2008).",Yes,"The analysis was performed using a mixed-effects model with the R package ‘Meta- for’ (Viechtbauer, 2010). [...] The R package ‘MuMIn’ was used for model selection (Barton, 2009). […] The factorial dataset was analysed using a linear mixed model,
with experiment as a random factor and biomass and richness as response variables, using the R packages ‘lme4’ and ‘lmerTest’ (Bates, Mächler, Bolker, & Walker, 2015).",R,No,Yes,No,No
MRMA_MP_5,MA_004,Managing conflict between large carnivores and livestock Authors:,Yes,"We therefore included all relevant studies that met our criteria. This approach fits within the framework of meta-analyses (Hedges & Olkin 1985), which is specifically designed to synthesize the results of independent studies that address the same question (Cooper et al. 1994).","Cooper H, Hedges LV, Valentine JC. 1994. The handbook of research synthesis and meta-analysis. Russell Sage Foundation, New York.",No,NA,SMD,"For each study, we calculated the standardized effect size as Hedges’ d (Hedges & Olkin 1985) using MetaWin V2.1 (Rosenberg et al. 2000). Hedges’.....For each study, we calculated the standardized effect size as Hedges’ d (Hedges & Olkin 1985) using MetaWin V2.1 (Rosenberg et al. 2000). Hedges’",Random effects model,"As the data even within categories varied with study design and intervention used, data were analyzed using a random-effects model, which was chosen as the most appropriate framework as it accounts for differing true effect size among studies (Hedges 1983; Gurevitch & Hedges 1999). However, where pooled variance was less than or equal to zero, a fixed effects model was used.",Yes,The mean effect size per category was weighted based on variance and sample size,Yes,"For each study, we calculated the standardized effect size as Hedges’ d (Hedges & Olkin 1985) using MetaWin V2.1 (Rosenberg et al. 2000).",Metawin,No,Yes,No,No
MRMA_MP_10,MA_005,Soil microbial biomass increases along elevational gradients in the tropics and subtropics but not elsewhere,No,NA,NA,No,NA,correlation,"We used multilevel random‐effects meta‐analysis to quantify the ef‐ fects of elevation on SMB at the global scale and Pearson correlation coefficients (r) to quantify the effect size of elevation on SMB within each elevational transect. Positive effect sizes reveal increasing SMB with elevation, while negative effect sizes reveal decreasing SMB with elevation. [...] Effect sizes were calculated by z‐transforming the Pearson correlation coef‐ ficients, which were weighted by their sample size. We.....Effect sizes were calculated by z‐transforming the Pearson correlation coef‐ ficients, which were weighted by their sample size.",Multilevel random effects[...] mixed-effects meta-regression ,"Our analysis consisted of three separate steps: random‐effects meta‐analysis, mixed effects meta‐regression models and a series of univariate linear regression models. We ran both the multilevel mixed effects[...] We used multilevel random‐effects meta‐analysis to quantify the ef‐ fects of elevation on SMB at the global scale and Pearson correlation coefficients (r) to quantify the effect size of elevation on SMB within each elevational transect. [...] We used mixed‐effects meta‐regression models with climate zone as a moderator to test whether the effect size of elevation on SMB differed between climate zones.",Yes,"Effect sizes were calculated by z‐transforming the Pearson correlation coef‐ ficients, which were weighted by their sample size.",Yes,"We performed all analyses in R v. 3.4.4 (R Core Team, 2018).",R,Yes,Yes,No,No
MRMA_MP_11,MA_006,Life after logging in tropical forests of Borneo A meta-analysis,No,NA,NA,No,NA,self-described,We used the proportion of individuals of a species observed in the logged forest over the total number of individuals observed in both logged and unlogged forests as our measure of effect size......We used the proportion of individuals of a species observed in the logged forest over the total number of individuals observed in both logged and unlogged forests as our measure of effect size.,Bayesian mixed-effects meta-analysis,"Given the complex data structure of multiple reports per species across multiple studies (for whichwe included random terms to correct for dependence of the data, Table 3), and to also allow inclusion ofphy- logenetic information (see below), we employed flexible Bayesian mixed generalized models in MCMCglmm (Hadfield, 2010; Hadfield and Nakagawa, 2010)inR(R Development Core Team, 2011). Chains were run for 2,700,000 iterations, with a burn-in of 200,000 iterations and a thinning interval of 1000 iterations. Inverse Wishart priors were used (V = 1, nu = 0.002). Models with parameter-expanded priors were also run, but these priors did not improve convergence and models with inverse Wishart priors are therefore presented. We ran a separate model to obtain estimates at the species level only, to be used for illustration purposes in Fig. 3, including a fixed effect for species and a random term for study. From these models we excluded species with zero counts and very lowsample size (≤5) forwhich these fixed ef- fects did not converge and inclusionwould have yielded unreliable esti- mates and credible intervals, but note that models presented in Figs. 1 and 2, and Tables 2 and 3 did include these data. These models were run for 10,000,000 iterations, with burn-in of 1000,000 iterations and thinning interval of 4500 iterations.",No,"To include these data in the meta-analysis, corrected abundances were back-transformed to counts in logged and unlogged forest representative of the total sample size underlying that comparison (Eq. (1)). This approach allowed for a metaanalysis at the most primary level of the data possible and could be regarded more as a re-analysis across studies rather than classic metaanalysis (Nakagawa and Cuthill, 2007), in which secondary outputs from individual studies are summarized using effect sizes and their associated sampling variances.""",Yes,"Given the complex data structure of multiple reports per species across multiple studies (for whichwe included random terms to correct for dependence of the data, Table 3), and to also allow inclusion ofphy- logenetic information (see below), we employed flexible Bayesian mixed generalized models in MCMCglmm (Hadfield, 2010; Hadfield and Nakagawa, 2010)inR(R Development Core Team, 2011).",R,Yes,Yes,No,No
MRMA_MP_12,MA_007,Running fast in the slow lane rapid population growth of humpback whales after exploitation,No,NA,NA,No,NA,self-described (population growth rate),The relationship between the finite growth rate and the instantaneous growth rate was given by λ = er. We will refer to λ simply as the ‘population growth rate’ throughout the article. The growth rate may also be referred to as ‘rate of increase’ in the literature......The relationship between the finite growth rate and the instantaneous growth rate was given by λ = er. We will refer to λ simply as the ‘population growth rate’ throughout the article. The growth rate may also be referred to as ‘rate of increase’ in the literature.,Meta-regression,A meta-regression was then used to investigate the causes of variation in the estimates of the annual population growth rates reported in the literature (Chen & Peace 2013) using the R package ‘metafor’ (Viechtbauer 2010).,Yes,"The standard error (SE) was used as a measure of precision for the studies considered here. Because many of these studies only reported the CIs of the parameter estimates as error measures, we calculated an approximate normal standard error estimate using the 95% CIs with the following equation: SE =(upper CI − lower CI) / 3.92. The validity of this ap - proach was confirmed by comparing the SE com-puted from the 95% CIs with the estimated SE from studies for which both SE and 95% CIs were available.",Yes,"A meta-regression was then used to investigate the causes of variation in the estimates of the annual population growth rates reported in the literature (Chen & Peace 2013) using the R package ‘metafor’ (Viechtbauer 2010). [...] A global detection function (as opposed to a region-specific one) was fitted to the data for each year, and maximum likelihood estimates (MLE) were obtained using the software Distance, version 6.2 (Tho mas et al. 2010).",R,No,No,NA,No
MRMA_MP_14,MA_008,Methane and nitrous oxide emissions under no-till farming in China a meta-analysis,No,NA,NA,No,NA,response ratio,"The natural log (lnR) of the response ratio was calculated as the effect size of this meta-analysis (Hedges et al., 1999), and was used to reflect the effects as CH4 and N2O emission changes computed using Eqn (2):.....The natural log (lnR) of the response ratio was calculated as the effect size of this meta-analysis (Hedges et al., 1999), and was used to reflect the effects as CH4 and N2O emission changes computed using Eqn (2):",Mixed-effects meta-regression,"Mixed-effects meta-regression analysis with ‘DerSimonian–Laird’ estimator (Dersimonian & Laird, 1986) were established to provide rather comprehensive infor- mation on site-specific factors assumed to influence CH4 and N2O emissions under PT0, NT0, and NTR",Yes,where Sln R is the standard error of ln R and was computed as:…,Yes,"The meta-analysis was conducted with METAWIN 2.1 (Rosenberg et al., 2000). [...] The R Statistical Software was applied with the ‘metafor’ package for meta- regression analysis (Chen & Peace, 2013) on CH4 and N2O cumulative seasonal emission under PT0, NT0, and NTR as influenced by some site-specific factors (independent vari- ables, soil pH, experimental duration, N fertilization input, MAT, and MAP). Besides, regression analysis was applied with Sigma Plot 11.0 (Systat Software Inc., California, USA) to test the relationships between lnR of CH4 and N2O emissions with lnR of crop grain yields and other site-specific conditions
(soil pH, experimental duration, N fertilization input, MAT, and MAP).",Metawin,No,No,NA,No
MRMA_MP_15,MA_009,Do trout respond to riparian change? A meta-analysis with implications for restoration and management,Yes,"Defining the question and outlining the scope for a quantitative review is an essential step and necessarily involves comprise between holistic and reductionist approaches (Pullin & Stewart, 2006).",Pullin and Stewart 2006,No,NA,response ratio,"Fifty-five of the initial 6514 papers were relevant at the full-text level (see Appendix S1), and we extracted 129 individual- and 370 population-level response ratios (499 total) from these papers. [...].....We extracted treatment and control group data from the text, tables or figures (using graphical digitiser soft- ware) of each paper, allowing the calculation of log response ratios following published methods (Hedges, Gurevitch & Curtis, 1999). For BA and CI studies: RR = ln[I or A] ? ln[C or B], and for BACI studies: RR = ln[IA/CA] ? ln[IB/CB], where RR is the response ratio, I is the impacted site mean, C is the control site mean, A is the after mean and B is the before mean","Linear mixed model (multilevel mixed-effects meta-analysis with random effects for study/site/species, instead of variance-based weighting so unweighted but considers some non-independence)","We used linear mixed effects models to quantify overall (all species combined), then species-specific, responses of trout to each riparian driver. [...] In our first suite of models, we fit a complex random effect structure to the combined-species data for individual- and population-level responses... [...] In our second suite of species-specific models, we used the same ran- dom effect structure illustrated above but dropped the redundant ‘species’ random effect.",No,"Overall, our model structures allowed us to analyse the specific response ratio data from each species, site or time point within a given study rather than having to simplify data to a single mean value per study, removing the need to weight response ratio estimates by sample size as is commonly done in other aggregate-based methods of meta-analysis",Yes,"Analyses were per- formed using the lme4 package (Bates et al., 2013) in 3.3.1 (R Development Core Team, 2016).",R,No,No,NA,No
MRMA_MP_17,MA_010,Beneficial microbes ameliorate abiotic and biotic sources of stress on plants,No,NA,NA,No,NA,response ratio,"Finally, we calculated the effect of microbial stress amelioration by considering the difference between stress impacts on uninocu- lated plants versus stress impacts on inoculated plants. Microbial amelioration was calculated as the log response ratio (La), standard deviation (SDa) and degrees of freedom (DFa). [Equations] where i is the mean value of performance for inoculated plants in the presence of stress......Finally, we calculated the effect of microbial stress amelioration by considering the difference between stress impacts on uninocu- lated plants versus stress impacts on inoculated plants. Microbial amelioration was calculated as the log response ratio (La), standard deviation (SDa) and degrees of freedom (DFa). [Equations] where i is the mean value of performance for inoculated plants in the presence of stress.",Random effects model,"We used the metafor version 2.0-0 package in r version 3.5.0 (R Core Team, 2017) which allowed �study� to be treated as a random effect..... The significance of fixed-effect model terms and their interactions was assessed using the metafor function rma.mv including study as a random effect and allowing the model to fit an intercept term.",Yes,"Microbial amelioration was calculated as the log response ratio (La), standard deviation (SDa) and degrees of freedom (DFa). [Equations]",Yes,"We used the metafor version 2.0-0 package in r version 3.5.0 (R Core Team, 2017) which allowed “study” to be treated as a random effect.",R,Yes,Yes,Yes,No
